Repository,Owner,Stars,Forks,URL
fastapi,fastapi,100075,9547,https://github.com/fastapi/fastapi
headroom,headroomlabs-ai,57085,4198,https://github.com/headroomlabs-ai/headroom
Hello-Python,mouredev,36286,2314,https://github.com/mouredev/Hello-Python
serve,jina-ai,21861,2242,https://github.com/jina-ai/serve
HivisionIDPhotos,Zeyi-Lin,21227,2439,https://github.com/Zeyi-Lin/HivisionIDPhotos
Douyin_TikTok_Download_API,Evil0ctal,18670,2671,https://github.com/Evil0ctal/Douyin_TikTok_Download_API
sqlmodel,fastapi,18166,871,https://github.com/fastapi/sqlmodel
SurfSense,MODSetter,15195,1458,https://github.com/MODSetter/SurfSense
peewee,coleifer,11980,1383,https://github.com/coleifer/peewee
fastapi_mcp,tadata-org,11938,952,https://github.com/tadata-org/fastapi_mcp
XHS-Downloader,JoeanAmier,11845,1763,https://github.com/JoeanAmier/XHS-Downloader
polar,polarsource,10041,738,https://github.com/polarsource/polar
pycaret,pycaret,9821,1854,https://github.com/pycaret/pycaret
FastUI,pydantic,8971,341,https://github.com/pydantic/FastUI
FileCodeBox,vastsa,8394,1047,https://github.com/vastsa/FileCodeBox
nonebot2,nonebot,7601,663,https://github.com/nonebot/nonebot2
fastapi-users,fastapi-users,6183,508,https://github.com/fastapi-users/fastapi-users
Yuxi,xerrors,5980,863,https://github.com/xerrors/Yuxi
honcho,plastic-labs,5804,693,https://github.com/plastic-labs/honcho
xianyu-auto-reply,zhinianboke,5539,1511,https://github.com/zhinianboke/xianyu-auto-reply
grok2api,chenyme,5336,1848,https://github.com/chenyme/grok2api
Kokoro-FastAPI,remsky,5103,845,https://github.com/remsky/Kokoro-FastAPI
devpush,hunvreus,4717,179,https://github.com/hunvreus/devpush
strawberry,strawberry-graphql,4686,646,https://github.com/strawberry-graphql/strawberry
agent-service-toolkit,JoshuaC215,4367,728,https://github.com/JoshuaC215/agent-service-toolkit
logfire,pydantic,4351,253,https://github.com/pydantic/logfire
dynaconf,dynaconf,4313,330,https://github.com/dynaconf/dynaconf
mcp-context-forge,IBM,4038,739,https://github.com/IBM/mcp-context-forge
datamodel-code-generator,koxudaxi,3962,449,https://github.com/koxudaxi/datamodel-code-generator
LitServe,Lightning-AI,3907,292,https://github.com/Lightning-AI/LitServe
fastapi-admin,fastapi-admin,3802,462,https://github.com/fastapi-admin/fastapi-admin
Streamer-Sales,PeterH0323,3721,565,https://github.com/PeterH0323/Streamer-Sales
tracecat,TracecatHQ,3718,383,https://github.com/TracecatHQ/tracecat
Rapid-MLX,raullenchai,3201,373,https://github.com/raullenchai/Rapid-MLX
opyrator,ml-tooling,3134,167,https://github.com/ml-tooling/opyrator
docarray,docarray,3123,244,https://github.com/docarray/docarray
fastapi-realworld-example-app,nsidnev,3107,724,https://github.com/nsidnev/fastapi-realworld-example-app
uvicorn-gunicorn-fastapi-docker,tiangolo,2913,340,https://github.com/tiangolo/uvicorn-gunicorn-fastapi-docker
any-auto-register,lxf746,2873,972,https://github.com/lxf746/any-auto-register
FastAPI-template,s3rius,2809,239,https://github.com/s3rius/FastAPI-template
sqladmin,smithyhq,2759,286,https://github.com/smithyhq/sqladmin
fastapi-react,Buuntu,2589,370,https://github.com/Buuntu/fastapi-react
supabase-py,supabase,2534,504,https://github.com/supabase/supabase-py
fastapi-langgraph-agent-production-ready-template,wassim249,2480,581,https://github.com/wassim249/fastapi-langgraph-agent-production-ready-template
RasaGPT,paulpierre,2463,250,https://github.com/paulpierre/RasaGPT
AIstudioProxyAPI,CJackHwang,2450,411,https://github.com/CJackHwang/AIstudioProxyAPI
nextpy,dot-agent,2342,181,https://github.com/dot-agent/nextpy
fastapi-best-architecture,fastapi-practices,2327,352,https://github.com/fastapi-practices/fastapi-best-architecture
fastapi-utils,fastapiutils,2308,191,https://github.com/fastapiutils/fastapi-utils
solara,widgetti,2166,190,https://github.com/widgetti/solara
codex-lb,Soju06,2165,326,https://github.com/Soju06/codex-lb
mangum,Kludex,2127,133,https://github.com/Kludex/mangum
kiro-gateway,jwadow,2086,494,https://github.com/jwadow/kiro-gateway
open-wearables,the-momentum,2070,380,https://github.com/the-momentum/open-wearables
slowapi,laurentS,2026,122,https://github.com/laurentS/slowapi
xhs_ai_publisher,BetaStreetOmnis,2012,296,https://github.com/BetaStreetOmnis/xhs_ai_publisher
FastAPI-boilerplate,benavlabs,1993,300,https://github.com/benavlabs/FastAPI-boilerplate
openapi-python-client,openapi-generators,1966,282,https://github.com/openapi-generators/openapi-python-client
piccolo,piccolo-orm,1926,107,https://github.com/piccolo-orm/piccolo
manage-fastapi,ycd,1905,103,https://github.com/ycd/manage-fastapi
fastapi-cache,long2ice,1869,206,https://github.com/long2ice/fastapi-cache
ormar,ormar-orm,1806,97,https://github.com/ormar-orm/ormar
python-week-2022,rochacbruno,1806,1119,https://github.com/rochacbruno/python-week-2022
WebRPA,pmh1314520,1786,175,https://github.com/pmh1314520/WebRPA
hajimi,wyeeeee,1737,5385,https://github.com/wyeeeee/hajimi
fastapi-crudrouter,awtkns,1694,178,https://github.com/awtkns/fastapi-crudrouter
fastapi-pagination,uriyyo,1671,162,https://github.com/uriyyo/fastapi-pagination
langchain-serve,jina-ai,1639,133,https://github.com/jina-ai/langchain-serve
coronavirus-tracker-api,ExpDev07,1567,309,https://github.com/ExpDev07/coronavirus-tracker-api
fastapi-amis-admin,amisadmin,1560,216,https://github.com/amisadmin/fastapi-amis-admin
fastcrud,benavlabs,1535,116,https://github.com/benavlabs/fastcrud
tavily-key-generator,skernelx,1529,813,https://github.com/skernelx/tavily-key-generator
full-stack-ai-agent-template,vstorm-co,1500,296,https://github.com/vstorm-co/full-stack-ai-agent-template
fastapi-boilerplate,teamhide,1491,218,https://github.com/teamhide/fastapi-boilerplate
prometheus-fastapi-instrumentator,trallnag,1471,117,https://github.com/trallnag/prometheus-fastapi-instrumentator
aktools,akfamily,1431,237,https://github.com/akfamily/aktools
RuoYi-Vue3-FastAPI,insistence,1425,374,https://github.com/insistence/RuoYi-Vue3-FastAPI
yubal,guillevc,1402,43,https://github.com/guillevc/yubal
fastapi-code-generator,koxudaxi,1398,152,https://github.com/koxudaxi/fastapi-code-generator
budgetml,ebhy,1343,65,https://github.com/ebhy/budgetml
Chatterbox-TTS-Server,devnen,1339,321,https://github.com/devnen/Chatterbox-TTS-Server
bolt-python,slackapi,1316,288,https://github.com/slackapi/bolt-python
fim-one,fim-ai,1311,147,https://github.com/fim-ai/fim-one
WebAI-to-API,Amm1rr,1299,227,https://github.com/Amm1rr/WebAI-to-API
