Repository,Owner,Stars,Forks,URL
fastapi-alembic-sqlmodel-async,vargasjona,1271,172,https://github.com/vargasjona/fastapi-alembic-sqlmodel-async
fastapi_production_template,zhanymkanov,1256,168,https://github.com/zhanymkanov/fastapi_production_template
ultimate-fastapi-tutorial,ChristopherGS,1220,379,https://github.com/ChristopherGS/ultimate-fastapi-tutorial
enterprise-deep-research,SalesforceAIResearch,1192,189,https://github.com/SalesforceAIResearch/enterprise-deep-research
authx,yezz123,1182,62,https://github.com/yezz123/authx
odmantic,art049,1172,96,https://github.com/art049/odmantic
intelligent-audit-system,Ricky-7-Yan,1157,104,https://github.com/Ricky-7-Yan/intelligent-audit-system
WebVideo2NAS,asdfghj1237890,1151,67,https://github.com/asdfghj1237890/WebVideo2NAS
transmute,transmute-app,1123,72,https://github.com/transmute-app/transmute
titiler,developmentseed,1123,241,https://github.com/developmentseed/titiler
ddddocr-fastapi,sml2h3,1116,494,https://github.com/sml2h3/ddddocr-fastapi
fastapi-course,Sanjeev-Thiyagarajan,1115,559,https://github.com/Sanjeev-Thiyagarajan/fastapi-course
fastapi-observability,blueswen,1109,139,https://github.com/blueswen/fastapi-observability
Blitz,ReturnFI,1098,153,https://github.com/ReturnFI/Blitz
fastapi-scaff,atpuxiner,1068,45,https://github.com/atpuxiner/fastapi-scaff
swiss_army_llama,Dicklesworthstone,1053,66,https://github.com/Dicklesworthstone/swiss_army_llama
