Repository,Owner,Stars,Forks,URL
Gerapy,Gerapy,3504,646,https://github.com/Gerapy/Gerapy
Cactus,eudicots,3470,315,https://github.com/eudicots/Cactus
django-taggit,jazzband,3439,623,https://github.com/jazzband/django-taggit
adminset,guohongze,3416,1417,https://github.com/guohongze/adminset
pinry,pinry,3391,373,https://github.com/pinry/pinry
django-oauth-toolkit,django-oauth,3330,846,https://github.com/django-oauth/django-oauth-toolkit
django-import-export,django-import-export,3329,829,https://github.com/django-import-export/django-import-export
django-shop,awesto,3316,1043,https://github.com/awesto/django-shop
django-rest-framework-jwt,jpadilla,3173,647,https://github.com/jpadilla/django-rest-framework-jwt
django-reversion,etianen,3165,491,https://github.com/etianen/django-reversion
django-environ,joke2k,3164,339,https://github.com/joke2k/django-environ
shynet,milesmcc,3140,206,https://github.com/milesmcc/shynet
django-sspanel,Ehco1996,3090,939,https://github.com/Ehco1996/django-sspanel
django-redis,jazzband,3075,452,https://github.com/jazzband/django-redis
swirl-search,swirlai,3030,285,https://github.com/swirlai/swirl-search
reloadium,reloadware,2994,63,https://github.com/reloadware/reloadium
Yamtrack,FuzzyGrim,2989,215,https://github.com/FuzzyGrim/Yamtrack
django-mptt,django-mptt,2977,462,https://github.com/django-mptt/django-mptt
django-storages,jschneier,2954,887,https://github.com/jschneier/django-storages
papermerge,ciur,2930,307,https://github.com/ciur/papermerge
python-diskcache,grantjenks,2892,172,https://github.com/grantjenks/python-diskcache
django-compressor,django-compressor,2868,608,https://github.com/django-compressor/django-compressor
viewflow,viewflow,2868,413,https://github.com/viewflow/viewflow
drf-spectacular,tfranzel,2845,325,https://github.com/tfranzel/drf-spectacular
babybuddy,babybuddy,2821,369,https://github.com/babybuddy/babybuddy
opencve,opencve,2768,330,https://github.com/opencve/opencve
django-model-utils,jazzband,2760,370,https://github.com/jazzband/django-model-utils
whitenoise,evansd,2750,153,https://github.com/evansd/whitenoise
Misago,rafalp,2734,548,https://github.com/rafalp/Misago
djoser,sunscrapers,2677,466,https://github.com/sunscrapers/djoser
daphne,django,2674,288,https://github.com/django/daphne
django-unicorn,django-commons,2657,132,https://github.com/django-commons/django-unicorn
django-social-auth,omab,2655,735,https://github.com/omab/django-social-auth
pinax,pinax,2630,426,https://github.com/pinax/pinax
django-rest-swagger,marcgibbons,2577,598,https://github.com/marcgibbons/django-rest-swagger
django-webpack-loader,django-webpack,2543,341,https://github.com/django-webpack/django-webpack-loader
supabase-py,supabase,2533,504,https://github.com/supabase/supabase-py
ralph,allegro,2506,591,https://github.com/allegro/ralph
lithium,wsvincent,2464,446,https://github.com/wsvincent/lithium
django-simple-history,django-commons,2453,507,https://github.com/django-commons/django-simple-history
pretix,pretix,2443,638,https://github.com/pretix/pretix
django-activity-stream,justquick,2439,471,https://github.com/justquick/django-activity-stream
django-rest-auth,Tivix,2419,647,https://github.com/Tivix/django-rest-auth
django-push-notifications,jazzband,2389,635,https://github.com/jazzband/django-push-notifications
shuup,shuup,2386,1149,https://github.com/shuup/shuup
django-imagekit,matthewwithanm,2351,277,https://github.com/matthewwithanm/django-imagekit
