Repository,Owner,Stars,URL
fastapi,fastapi,98440,https://github.com/fastapi/fastapi
Hello-Python,mouredev,35715,https://github.com/mouredev/Hello-Python
serve,jina-ai,21868,https://github.com/jina-ai/serve
HivisionIDPhotos,Zeyi-Lin,21113,https://github.com/Zeyi-Lin/HivisionIDPhotos
Douyin_TikTok_Download_API,Evil0ctal,18007,https://github.com/Evil0ctal/Douyin_TikTok_Download_API
sqlmodel,fastapi,17970,https://github.com/fastapi/sqlmodel
SurfSense,MODSetter,14282,https://github.com/MODSetter/SurfSense
fastapi_mcp,tadata-org,11874,https://github.com/tadata-org/fastapi_mcp
XHS-Downloader,JoeanAmier,11248,https://github.com/JoeanAmier/XHS-Downloader
polar,polarsource,9863,https://github.com/polarsource/polar
pycaret,pycaret,9795,https://github.com/pycaret/pycaret
FastUI,pydantic,8970,https://github.com/pydantic/FastUI
FileCodeBox,vastsa,8292,https://github.com/vastsa/FileCodeBox
nonebot2,nonebot,7516,https://github.com/nonebot/nonebot2
fastapi-users,fastapi-users,6139,https://github.com/fastapi-users/fastapi-users
Yuxi,xerrors,5254,https://github.com/xerrors/Yuxi
grok2api,chenyme,4964,https://github.com/chenyme/grok2api
Kokoro-FastAPI,remsky,4871,https://github.com/remsky/Kokoro-FastAPI
strawberry,strawberry-graphql,4657,https://github.com/strawberry-graphql/strawberry
devpush,hunvreus,4655,https://github.com/hunvreus/devpush
dynaconf,dynaconf,4300,https://github.com/dynaconf/dynaconf
agent-service-toolkit,JoshuaC215,4281,https://github.com/JoshuaC215/agent-service-toolkit
logfire,pydantic,4259,https://github.com/pydantic/logfire
honcho,plastic-labs,3976,https://github.com/plastic-labs/honcho
datamodel-code-generator,koxudaxi,3906,https://github.com/koxudaxi/datamodel-code-generator
LitServe,Lightning-AI,3883,https://github.com/Lightning-AI/LitServe
fastapi-admin,fastapi-admin,3776,https://github.com/fastapi-admin/fastapi-admin
mcp-context-forge,IBM,3760,https://github.com/IBM/mcp-context-forge
